Algorithm,Seed,Dimension,Cells Visited,Time Taken,Path Length
dfs,10,10,189,3.6314e-05s,63
bnb,10,10,181,3.1755e-05s,63
bfs,10,10,94,1.4644e-05s,63
A*,10,10,75,1.1907e-05s,63
dfs,10,25,1193,0.000148628s,269
bnb,10,25,894,0.000116064s,269
bfs,10,25,461,4.8746e-05s,269
A*,10,25,397,2.7151e-05s,269
dfs,10,50,4740,0.000568042s,761
bnb,10,50,4740,0.00060385s,761
bfs,10,50,1259,0.000287499s,761
A*,10,50,1202,4.5162e-05s,761
dfs,10,100,19010,0.00226153s,1373
bnb,10,100,13896,0.00175771s,1373
bfs,10,100,2302,0.000239704s,1373
A*,10,100,2224,7.0293e-05s,1373
dfs,10,250,118731,0.0164233s,17873
bnb,10,250,118721,0.01681s,17873
bfs,10,250,54068,0.00701537s,17873
A*,10,250,53894,0.00265458s,17873
dfs,10,500,475002,0.0717706s,46457
bnb,10,500,351233,0.0539266s,46457
bfs,10,500,181729,0.0216983s,46457
A*,10,500,176021,0.0113735s,46457
dfs,10,750,1068952,0.163317s,71861
bnb,10,750,554642,0.122437s,71861
bfs,10,750,252193,0.032953s,71861
A*,10,750,251328,0.020639s,71861
dfs,10,1000,1899994,0.313449s,146141
bnb,10,1000,1116795,0.177417s,146141
bfs,10,1000,542601,0.0645702s,146141
A*,10,1000,539604,0.0411933s,146141
